Ward Code,Ward Name,LA Name,Region Name,QS201EW0015,QS201EW0001 (base),Ward Percentage
E05000001,Aldersgate,City of London,London,6,1465,0.4100,
E05000005,Bishopsgate,City of London,,1,222,0.4500,
E05000352,Feltham West,Hounslow,London,938,15541,6.0400,
E05000353,Hanworth,Hounslow,London,668,12155,5.5000,
E05000354,Hanworth Park,Hounslow,London,427,11408,3.7400,
E05000355,Heston Central,Hounslow,London,384,12288,3.1300,
E05000356,Heston East,Hounslow,London,526,12319,4.2700,
E05004936,Princes,Dartford,South East,211,6307,3.3500,
E05000357,Heston West,Hounslow,London,800,12438,6.4300,
E05000358,Hounslow Central,Hounslow,London,483,15169,3.1800,
E05000359,Hounslow Heath,Hounslow,London,647,14727,4.3900,
E05000360,Hounslow South,Hounslow,London,254,11408,2.2300,
E05000315,Hylands,Havering,London,239,12952,1.8500,
E05000361,Hounslow West,Hounslow,London,406,12658,3.2100,
E05004932,Joydens Wood,Dartford,South East,154,7012,2.2000,
E05000312,Harold Wood,Havering,London,338,12650,2.6700,
E05000394,Pembridge,Kensington and Chelsea,London,159,7659,2.0800,
E05000311,Hacton,Havering,London,175,12262,1.4300,
E05000313,Havering Park,Havering,London,467,13000,3.5900,
E05000314,Heaton,Havering,London,907,12570,7.2200,
E05000316,Mawneys,Havering,London,314,12915,2.4300,
E05000317,Pettits,Havering,London,216,12955,1.6700,
E05000318,Rainham and Wennington,Havering,London,672,12482,5.3800,
E05000319,Romford Town,Havering,London,482,15921,3.0300,
E05000320,St Andrew's,Havering,London,178,13334,1.3300,
E05000395,Queen's Gate,Kensington and Chelsea,London,113,9847,1.1500,
E05000396,Redcliffe,Kensington and Chelsea,London,135,9245,1.4600,
E05000397,Royal Hospital,Kensington and Chelsea,London,113,7252,1.5600,
E05000398,St Charles,Kensington and Chelsea,London,670,9343,7.1700,
E05000399,Stanley,Kensington and Chelsea,London,146,8187,1.7800,
E05000030,Eastbrook,Barking and Dagenham,London,1142,10506,10.8700,
E05000370,Clerkenwell,Islington,London,607,11490,5.2800,
E05000362,Isleworth,Hounslow,London,841,11977,7.0200,
E05000363,Osterley and Spring Grove,Hounslow,London,350,13031,2.6900,
E05000364,Syon,Hounslow,London,638,13554,4.7100,
E05000365,Turnham Green,Hounslow,London,231,11448,2.0200,
E05000366,Barnsbury,Islington,London,499,12201,4.0900,
E05000328,Charville,Hillingdon,London,592,12622,4.6900,
E05000367,Bunhill,Islington,London,989,14639,6.7600,
E05000368,Caledonian,Islington,London,888,13896,6.3900,
E05000369,Canonbury,Islington,London,724,12072,6.0000,
E05000371,Finsbury Park,Islington,London,1320,14358,9.1900,
E05000321,South Hornchurch,Havering,London,934,13544,6.9000,
E05000322,Squirrel's Heath,Havering,London,187,13194,1.4200,
E05000323,Upminster,Havering,London,76,12833,0.5900,
E05000324,Barnhill,Hillingdon,London,913,13449,6.7900,
E05000325,Botwell,Hillingdon,London,1349,15034,8.9700,
E05000326,Brunel,Hillingdon,London,770,13841,5.5600,
E05000327,Cavendish,Hillingdon,London,132,11658,1.1300,
E05000329,Eastcote and East Ruislip,Hillingdon,London,57,12142,0.4700,
E05000330,Harefield,Hillingdon,London,100,7399,1.3500,
E05000388,Earl's Court,Kensington and Chelsea,London,286,9104,3.1400,
E05000015,Cripplegate,City of London,London,23,2782,0.8300,
E05000017,Farringdon Within,City of London,London,0,276,0.0000,
E05000018,Farringdon Without,City of London,London,14,1099,1.2700,
E05000462,Hillside,Merton,London,80,8977,0.8900,
E05000463,Lavender Fields,Merton,London,718,10273,6.9900,
E05000044,Burnt Oak,Barnet,London,2325,18217,12.7600,
E05000036,Mayesbrook,Barking and Dagenham,London,1482,10342,14.3300,
E05000379,St Mary's,Islington,London,425,11553,3.6800,
E05004077,Pilgrims Hatch,Brentwood,East of England,25,5963,0.4200,
E05000376,Junction,Islington,London,642,12025,5.3400,
E05000372,Highbury East,Islington,London,476,11634,4.0900,
E05000373,Highbury West,Islington,London,931,15030,6.1900,
E05000374,Hillrise,Islington,London,787,11794,6.6700,
E05000375,Holloway,Islington,London,1093,14983,7.2900,
E05000378,St George's,Islington,London,747,12400,6.0200,
E05000377,Mildmay,Islington,London,948,12917,7.3400,
E05000380,St Peter's,Islington,London,583,11822,4.9300,
E05000381,Tollington,Islington,London,963,13311,7.2300,
E05000037,Parsloes,Barking and Dagenham,London,1345,9839,13.6700,
E05000400,Alexandra,Kingston upon Thames,London,148,9246,1.6000,
E05000331,Heathrow Villages,Hillingdon,London,586,12199,4.8000,
E05000332,Hillingdon East,Hillingdon,London,334,12906,2.5900,
E05000333,Ickenham,Hillingdon,London,65,10387,0.6300,
E05000401,Berrylands,Kingston upon Thames,London,119,9437,1.2600,
E05000334,Manor,Hillingdon,London,93,11442,0.8100,
E05000335,Northwood,Hillingdon,London,146,10469,1.3900,
E05000336,Northwood Hills,Hillingdon,London,188,11578,1.6200,
E05000337,Pinkwell,Hillingdon,London,1124,14767,7.6100,
E05000338,South Ruislip,Hillingdon,London,237,12364,1.9200,
E05000339,Townfield,Hillingdon,London,1201,14106,8.5100,
E05000340,Uxbridge North,Hillingdon,London,260,12048,2.1600,
E05000029,Chadwell Heath,Barking and Dagenham,London,939,10021,9.3700,
E05000021,Portsoken,City of London,London,52,985,5.2800,
E05000022,Queenhithe,City of London,,0,319,0.0000,
E05000023,Tower,City of London,London,2,227,0.8800,
E05000026,Abbey,Barking and Dagenham,London,1965,12786,15.3700,
E05000027,Alibon,Barking and Dagenham,London,1579,10385,15.2000,
E05000028,Becontree,Barking and Dagenham,London,1505,11545,13.0400,
E05000097,Preston,Brent,London,860,15474,5.5600,
E05000382,Abingdon,Kensington and Chelsea,London,139,10013,1.3900,
E05000146,Addiscombe,Croydon,London,1123,16883,6.6500,
E05000383,Brompton,Kensington and Chelsea,London,118,8839,1.3300,
E05002667,Gerrards Cross South,South Bucks,South East,18,3541,0.5100,
E05000384,Campden,Kensington and Chelsea,London,101,8178,1.2400,
E05000385,Colville,Kensington and Chelsea,London,476,8377,5.6800,
E05000386,Courtfield,Kensington and Chelsea,London,142,8933,1.5900,
E05000387,Cremorne,Kensington and Chelsea,London,379,7964,4.7600,
E05000389,Golborne,Kensington and Chelsea,London,968,8937,10.8300,
E05000390,Hans Town,Kensington and Chelsea,London,166,8792,1.8900,
E05000452,Sydenham,Lewisham,London,1488,15605,9.5400,
E05000453,Telegraph Hill,Lewisham,London,2237,16414,13.6300,
E05000454,Whitefoot,Lewisham,London,1873,14249,13.1400,
E05000455,Abbey,Merton,London,260,10323,2.5200,
E05000456,Cannon Hill,Merton,London,156,9249,1.6900,
E05000457,Colliers Wood,Merton,London,461,10712,4.3000,
E05000458,Cricket Green,Merton,London,1446,11474,12.6000,
E05000459,Dundonald,Merton,London,57,9275,0.6100,
E05002348,Wexham Lea,Slough,South East,404,11017,3.6700,
E05000136,Haverstock,Camden,London,881,12364,7.1300,
E05000495,Aldborough,Redbridge,London,580,14544,3.9900,
E05000496,Barkingside,Redbridge,London,368,12609,2.9200,
E05000497,Bridge,Redbridge,London,368,11658,3.1600,
E05000041,Village,Barking and Dagenham,London,2051,10787,19.0100,
E05000498,Chadwell,Redbridge,London,1218,14257,8.5400,
E05004748,Borehamwood Brookmeadow,Hertsmere,East of England,498,7928,6.2800,
E05000499,Church End,Redbridge,London,200,11516,1.7400,
E05000500,Clayhall,Redbridge,London,243,13241,1.8400,
E05000501,Clementswood,Redbridge,London,897,14666,6.1200,
E05000492,Stratford and New Town,Newham,London,2281,17768,12.8400,
E05000493,Wall End,Newham,London,1050,14846,7.0700,
E05000494,West Ham,Newham,London,2413,15551,15.5200,
E05000042,Whalebone,Barking and Dagenham,London,1209,10575,11.4300,
E05000407,Coombe Vale,Kingston upon Thames,London,105,9750,1.0800,
E05000589,Whitechapel,Tower Hamlets,London,421,14862,2.8300,
E05000590,Cann Hall,Waltham Forest,London,1702,13799,12.3300,
E05000591,Cathall,Waltham Forest,London,1571,12700,12.3700,
E05000582,Mile End East,Tower Hamlets,London,723,13354,5.4100,
E05000583,Millwall,Tower Hamlets,London,681,23084,2.9500,
E05000584,St Dunstan's and Stepney Green,Tower Hamlets,London,479,16238,2.9500,
E05000585,St Katharine's and Wapping,Tower Hamlets,London,215,12411,1.7300,
E05000586,Shadwell,Tower Hamlets,London,573,15110,3.7900,
E05000587,Spitalfields and Banglatown,Tower Hamlets,London,264,10286,2.5700,
E05000588,Weavers,Tower Hamlets,London,483,13206,3.6600,
E05002670,Iver Village and Richings Park,South Bucks,South East,29,5301,0.5500,
E05000391,Holland,Kensington and Chelsea,London,250,9767,2.5600,
E05000644,St James's,Westminster,London,370,10828,3.4200,
E05000645,Tachbrook,Westminster,London,241,8158,2.9500,
E05000301,Roxbourne,Harrow,London,827,12828,6.4500,
E05000302,Roxeth,Harrow,London,498,11663,4.2700,
E05000642,Queen's Park,Westminster,London,978,12563,7.7800,
E05000643,Regent's Park,Westminster,London,389,12067,3.2200,
E05000303,Stanmore Park,Harrow,London,376,11229,3.3500,
E05000304,Wealdstone,Harrow,London,630,11394,5.5300,
E05000305,West Harrow,Harrow,London,364,10373,3.5100,
E05000306,Brooklands,Havering,London,709,14957,4.7400,
E05000307,Cranham,Havering,London,78,12528,0.6200,
E05000308,Elm Park,Havering,London,555,12466,4.4500,
E05000408,Grove,Kingston upon Thames,London,188,10955,1.7200,
E05000309,Emerson Park,Havering,London,229,11977,1.9100,
E05000310,Gooshays,Havering,London,825,14692,5.6200,
E05004752,Bushey Heath,Hertsmere,East of England,34,6713,0.5100,
E05004847,Tudor,Watford,East of England,113,6100,1.8500,
E05000464,Longthornton,Merton,London,1130,10024,11.2700,
E05004749,Borehamwood Cowley Hill,Hertsmere,East of England,530,8439,6.2800,
E05000106,Bickley,Bromley,London,253,15098,1.6800,
E05000465,Lower Morden,Merton,London,200,9090,2.2000,
E05000102,Tokyngton,Brent,London,971,15105,6.4300,
E05000466,Merton Park,Merton,London,127,9485,1.3400,
E05000101,Sudbury,Brent,London,747,14950,5.0000,
E05000103,Welsh Harp,Brent,London,929,13753,6.7500,
E05000467,Pollards Hill,Merton,London,1902,10287,18.4900,
E05000108,Bromley Common and Keston,Bromley,London,354,15113,2.3400,
E05000104,Wembley Central,Brent,London,735,14727,4.9900,
E05000468,Ravensbury,Merton,London,592,9968,5.9400,
E05000105,Willesden Green,Brent,London,1268,15587,8.1300,
E05000109,Bromley Town,Bromley,London,465,16826,2.7600,
E05000469,Raynes Park,Merton,London,125,9738,1.2800,
E05000098,Queens Park,Brent,London,711,15281,4.6500,
E05000409,Norbiton,Kingston upon Thames,London,383,10107,3.7900,
E05000470,St Helier,Merton,London,527,10414,5.0600,
E05000471,Trinity,Merton,London,182,9798,1.8600,
E05000410,Old Malden,Kingston upon Thames,London,114,9431,1.2100,
E05000411,St James,Kingston upon Thames,London,115,8969,1.2800,
E05004173,Theydon Bois,Epping Forest,East of England,6,4062,0.1500,
E05004160,Loughton Broadway,Epping Forest,East of England,69,4233,1.6300,
E05000341,Uxbridge South,Hillingdon,London,624,13979,4.4600,
E05000342,West Drayton,Hillingdon,London,717,14370,4.9900,
E05002637,Central,Chiltern,South East,19,4344,0.4400,
E05002341,Colnbrook with Poyle,Slough,South East,317,6157,5.1500,
E05002343,Foxborough,Slough,South East,491,8501,5.7800,
E05000032,Gascoigne,Barking and Dagenham,London,3212,12452,25.8000,
E05002345,Kedermister,Slough,South East,419,9504,4.4100,
E05002346,Langley St Mary's,Slough,South East,277,8079,3.4300,
E05002347,Upton,Slough,South East,410,9386,4.3700,
E05000033,Goresbrook,Barking and Dagenham,London,1905,11267,16.9100,
E05000034,Heath,Barking and Dagenham,London,1886,10786,17.4900,
E05000035,Longbridge,Barking and Dagenham,London,681,11478,5.9300,
E05000189,Southall Broadway,Ealing,London,484,13439,3.6000,
E05000190,Southall Green,Ealing,London,945,14579,6.4800,
E05000031,Eastbury,Barking and Dagenham,London,1744,11624,15.0000,
E05000038,River,Barking and Dagenham,London,2127,10923,19.4700,
E05000039,Thames,Barking and Dagenham,London,2906,10728,27.0900,
E05000040,Valence,Barking and Dagenham,London,1007,9867,10.2100,
E05007260,Molesey North,Elmbridge,South East,28,6008,0.4700,
E05007373,Sunbury Common,Spelthorne,South East,124,8076,1.5400,
E05004755,Bushey St James,Hertsmere,East of England,132,7581,1.7400,
E05007356,Englefield Green West,Runnymede,South East,56,5180,1.0800,
E05000043,Brunswick Park,Barnet,London,440,16394,2.6800,
E05000392,Norland,Kensington and Chelsea,London,328,8675,3.7800,
E05000393,Notting Barns,Kensington and Chelsea,London,847,9537,8.8800,
E05000045,Childs Hill,Barnet,London,1078,20049,5.3800,
E05000046,Colindale,Barnet,London,2479,17098,14.5000,
E05000047,Coppetts,Barnet,London,903,17250,5.2300,
E05000048,East Barnet,Barnet,London,513,16137,3.1800,
E05000049,East Finchley,Barnet,London,822,15989,5.1400,
E05000050,Edgware,Barnet,London,1159,16728,6.9300,
E05007365,Ashford Town,Spelthorne,South East,75,7089,1.0600,
E05004824,Croxley Green,Three Rivers,East of England,12,5515,0.2200,
E05000402,Beverley,Kingston upon Thames,London,178,10109,1.7600,
E05000403,Canbury,Kingston upon Thames,London,157,12373,1.2700,
E05000406,Coombe Hill,Kingston upon Thames,London,264,10357,2.5500,
E05002359,Datchet,Windsor and Maidenhead,South East,42,4913,0.8500,
E05002363,Horton and Wraysbury,Windsor and Maidenhead,South East,21,5063,0.4100,
E05000052,Garden Suburb,Barnet,London,317,15929,1.9900,
E05002366,Old Windsor,Windsor and Maidenhead,South East,16,4977,0.3200,
E05000051,Finchley Church End,Barnet,London,577,15715,3.6700,
E05000053,Golders Green,Barnet,London,938,18818,4.9800,
E05000054,Hale,Barnet,London,1343,17437,7.7000,
E05000055,Hendon,Barnet,London,1037,18472,5.6100,
E05000056,High Barnet,Barnet,London,298,15307,1.9500,
E05000057,Mill Hill,Barnet,London,1117,18451,6.0500,
E05000058,Oakleigh,Barnet,London,551,15811,3.4800,
E05000059,Totteridge,Barnet,London,383,15159,2.5300,
E05000060,Underhill,Barnet,London,838,15915,5.2700,
E05004928,Castle,Dartford,South East,90,2692,3.3400,
E05004941,West Hill,Dartford,South East,204,6766,3.0200,
E05000099,Queensbury,Brent,London,823,15155,5.4300,
E05000201,Haselbury,Enfield,London,2054,16263,12.6300,
E05000068,Brampton,Bexley,London,258,10546,2.4500,
E05000412,St Mark's,Kingston upon Thames,London,225,10483,2.1500,
E05000413,Surbiton Hill,Kingston upon Thames,London,186,10459,1.7800,
E05000414,Tolworth and Hook Rise,Kingston upon Thames,London,135,9833,1.3700,
E05000415,Tudor,Kingston upon Thames,London,48,9578,0.5000,
E05000416,Bishop's,Lambeth,London,853,9675,8.8200,
E05000417,Brixton Hill,Lambeth,London,1669,15842,10.5400,
E05000418,Clapham Common,Lambeth,London,749,12852,5.8300,
E05000419,Clapham Town,Lambeth,London,954,13795,6.9200,
E05000420,Coldharbour,Lambeth,London,3531,16784,21.0400,
E05000421,Ferndale,Lambeth,London,1625,15032,10.8100,
E05000061,West Finchley,Barnet,London,471,16533,2.8500,
E05000062,West Hendon,Barnet,London,1146,17402,6.5900,
E05000063,Woodhouse,Barnet,London,657,17575,3.7400,
E05000064,Barnehurst,Bexley,London,256,10418,2.4600,
E05000065,Belvedere,Bexley,London,1433,11890,12.0500,
E05000066,Blackfen and Lamorbey,Bexley,London,97,10616,0.9100,
E05000067,Blendon and Penhill,Bexley,London,153,10910,1.4000,
E05000069,Christchurch,Bexley,London,256,10965,2.3300,
E05000070,Colyers,Bexley,London,952,11128,8.5500,
E05005031,Swanley St Mary's,Sevenoaks,South East,143,4378,3.2700,
E05000488,Manor Park,Newham,London,1287,15318,8.4000,
E05000489,Plaistow North,Newham,London,2129,15470,13.7600,
E05000429,Stockwell,Lambeth,London,2344,14777,15.8600,
E05000430,Streatham Hill,Lambeth,London,1278,14263,8.9600,
E05000431,Streatham South,Lambeth,London,1587,14336,11.0700,
E05000422,Gipsy Hill,Lambeth,London,1588,13712,11.5800,
E05000423,Herne Hill,Lambeth,London,1297,15107,8.5900,
E05000424,Knight's Hill,Lambeth,London,1609,14763,10.9000,
E05000425,Larkhall,Lambeth,London,2308,17243,13.3900,
E05000426,Oval,Lambeth,London,1549,15106,10.2500,
E05000427,Prince's,Lambeth,London,2103,14262,14.7500,
E05000428,St Leonard's,Lambeth,London,1089,14550,7.4800,
E05000077,Lesnes Abbey,Bexley,London,1542,11346,13.5900,
E05000071,Crayford,Bexley,London,531,11226,4.7300,
E05000072,Cray Meadows,Bexley,London,284,11207,2.5300,
E05000073,Danson Park,Bexley,London,333,10864,3.0700,
E05000074,East Wickham,Bexley,London,412,10858,3.7900,
E05000075,Erith,Bexley,London,1731,12053,14.3600,
E05000076,Falconwood and Welling,Bexley,London,342,10800,3.1700,
E05000078,Longlands,Bexley,London,128,10442,1.2300,
E05000079,North End,Bexley,London,1928,11566,16.6700,
E05000080,Northumberland Heath,Bexley,London,415,10598,3.9200,
E05004069,Brentwood West,Brentwood,East of England,78,7047,1.1100,
E05000521,Hampton North,Richmond upon Thames,London,135,9387,1.4400,
E05000087,Brondesbury Park,Brent,London,751,13023,5.7700,
E05000441,Crofton Park,Lewisham,London,1068,14937,7.1500,
E05000432,Streatham Wells,Lambeth,London,1426,14906,9.5700,
E05000433,Thornton,Lambeth,London,1632,12526,13.0300,
E05000434,Thurlow Park,Lambeth,London,1058,13641,7.7600,
E05000435,Tulse Hill,Lambeth,London,2543,15771,16.1200,
E05000436,Vassall,Lambeth,London,2395,14143,16.9300,
E05000437,Bellingham,Lewisham,London,2064,14775,13.9700,
E05000438,Blackheath,Lewisham,London,928,14039,6.6100,
E05000439,Brockley,Lewisham,London,1907,17156,11.1200,
E05000440,Catford South,Lewisham,London,1390,15214,9.1400,
E05000081,St Mary's,Bexley,London,75,10491,0.7100,
E05000082,St Michael's,Bexley,London,437,11135,3.9200,
E05000083,Sidcup,Bexley,London,171,10844,1.5800,
E05000084,Thamesmead East,Bexley,London,4218,12094,34.8800,
E05000085,Alperton,Brent,London,425,14017,3.0300,
E05000086,Barnhill,Brent,London,1255,15772,7.9600,
E05000088,Dollis Hill,Brent,London,1423,13425,10.6000,
E05000089,Dudden Hill,Brent,London,1344,15059,8.9200,
E05000090,Fryent,Brent,London,670,13445,4.9800,
E05004165,Loughton St Mary's,Epping Forest,East of England,41,4612,0.8900,
E05002642,Gold Hill,Chiltern,South East,0,2236,0.0000,
E05007369,Shepperton Town,Spelthorne,South East,12,6677,0.1800,
E05004760,Shenley,Hertsmere,East of England,53,5506,0.9600,
E05000100,Stonebridge,Brent,London,3635,16903,21.5100,
E05000091,Harlesden,Brent,London,2894,17162,16.8600,
E05000092,Kensal Green,Brent,London,1307,14915,8.7600,
E05000093,Kenton,Brent,London,253,12133,2.0900,
E05000094,Kilburn,Brent,London,2109,16989,12.4100,
E05000095,Mapesbury,Brent,London,897,15529,5.7800,
E05000096,Northwick Park,Brent,London,384,12811,3.0000,
E05004837,Sarratt,Three Rivers,East of England,3,1849,0.1600,
E05004833,Oxhey Hall,Three Rivers,East of England,34,3336,1.0200,
E05004753,Bushey North,Hertsmere,East of England,147,6727,2.1900,
E05000534,Brunswick Park,Southwark,London,2694,13174,20.4500,
E05000535,Camberwell Green,Southwark,London,4228,15032,28.1300,
E05004937,Stone,Dartford,South East,222,6553,3.3900,
E05004933,Littlebrook,Dartford,South East,235,4416,5.3200,
E05007265,Thames Ditton,Elmbridge,South East,13,6307,0.2100,
E05000546,Peckham,Southwark,London,4710,14720,32.0000,
E05000547,Peckham Rye,Southwark,London,1422,13518,10.5200,
E05000548,Riverside,Southwark,London,1317,14390,9.1500,
E05000442,Downham,Lewisham,London,1514,14567,10.3900,
E05002230,Belhus,Thurrock,East of England,744,9780,7.6100,
E05000443,Evelyn,Lewisham,London,3686,16603,22.2000,
E05000444,Forest Hill,Lewisham,London,1433,14854,9.6500,
E05000445,Grove Park,Lewisham,London,1368,14648,9.3400,
E05000446,Ladywell,Lewisham,London,1234,14515,8.5000,
E05004078,Shenfield,Brentwood,East of England,18,5432,0.3300,
E05000447,Lee Green,Lewisham,London,893,14573,6.1300,
E05000448,Lewisham Central,Lewisham,London,1970,17446,11.2900,
E05000449,New Cross,Lewisham,London,3469,15756,22.0200,
E05002668,Hedgerley and Fulmer,South Bucks,South East,5,1358,0.3700,
E05004174,Waltham Abbey High Beach,Epping Forest,East of England,18,2236,0.8100,
E05004161,Loughton Fairmead,Epping Forest,East of England,55,4317,1.2700,
E05002638,Chalfont Common,Chiltern,South East,7,3983,0.1800,
E05004148,Buckhurst Hill East,Epping Forest,East of England,45,4616,0.9700,
E05000594,Endlebury,Waltham Forest,London,365,10730,3.4000,
E05000595,Forest,Waltham Forest,London,665,12609,5.2700,
E05007374,Sunbury East,Spelthorne,South East,35,6798,0.5100,
E05004756,Elstree,Hertsmere,East of England,133,5110,2.6000,
E05000596,Grove Green,Waltham Forest,London,924,14604,6.3300,
E05004929,Greenhithe,Dartford,South East,207,6567,3.1500,
E05007348,Addlestone Bourneside,Runnymede,South East,54,5596,0.9600,
E05007261,Molesey South,Elmbridge,South East,36,6743,0.5300,
E05000450,Perry Vale,Lewisham,London,1393,15618,8.9200,
E05000451,Rushey Green,Lewisham,London,2110,14916,14.1500,
E05000259,Palace Riverside,Hammersmith and Fulham,London,109,7483,1.4600,
E05000460,Figge's Marsh,Merton,London,1453,11240,12.9300,
E05000461,Graveney,Merton,London,607,9816,6.1800,
E05004942,Wilmington,Dartford,South East,28,4000,0.7000,
E05000475,Beckton,Newham,London,2114,15141,13.9600,
E05007257,Hinchley Wood,Elmbridge,South East,20,5068,0.3900,
E05000111,Chislehurst,Bromley,London,193,14831,1.3000,
E05000112,Clock House,Bromley,London,622,15560,4.0000,
E05000113,Copers Cope,Bromley,London,488,15392,3.1700,
E05000114,Cray Valley East,Bromley,London,847,15445,5.4800,
E05000115,Cray Valley West,Bromley,London,794,16769,4.7300,
E05000116,Crystal Palace,Bromley,London,1327,12255,10.8300,
E05000119,Hayes and Coney Hall,Bromley,London,133,15906,0.8400,
E05000120,Kelsey and Eden Park,Bromley,London,354,15892,2.2300,
E05000476,Boleyn,Newham,London,1477,15982,9.2400,
E05000477,Canning Town North,Newham,London,3087,14810,20.8400,
E05000536,Cathedrals,Southwark,London,1525,14941,10.2100,
E05000537,Chaucer,Southwark,London,2412,15178,15.8900,
E05005032,Swanley White Oak,Sevenoaks,South East,91,6104,1.4900,
E05005019,Hartley and Hodsoll Street,Sevenoaks,South East,5,5835,0.0900,
E05005015,Eynsford,Sevenoaks,South East,6,1814,0.3300,
E05000478,Canning Town South,Newham,London,2956,15996,18.4800,
E05000123,Penge and Cator,Bromley,London,1611,17326,9.3000,
E05000121,Mottingham and Chislehurst North,Bromley,London,508,9987,5.0900,
E05000122,Orpington,Bromley,London,495,15311,3.2300,
E05000124,Petts Wood and Knoll,Bromley,London,138,13651,1.0100,
E05000125,Plaistow and Sundridge,Bromley,London,585,15122,3.8700,
E05000126,Shortlands,Bromley,London,147,9824,1.5000,
E05000127,West Wickham,Bromley,London,109,14884,0.7300,
E05000128,Belsize,Camden,London,485,12702,3.8200,
E05000129,Bloomsbury,Camden,London,403,10892,3.7000,
E05000130,Camden Town with Primrose Hill,Camden,London,523,12613,4.1500,
E05002239,Ockendon,Thurrock,East of England,550,9680,5.6800,
E05000479,Custom House,Newham,London,2768,13411,20.6400,
E05000473,West Barnes,Merton,London,171,9862,1.7300,
E05000474,Wimbledon Park,Merton,London,200,11197,1.7900,
E05000480,East Ham Central,Newham,London,960,15917,6.0300,
E05000472,Village,Merton,London,48,8491,0.5700,
E05000481,East Ham North,Newham,London,715,13866,5.1600,
E05004070,Brizes and Doddinghurst,Brentwood,East of England,21,5958,0.3500,
E05000131,Cantelowes,Camden,London,743,11925,6.2300,
E05000132,Fortune Green,Camden,London,434,11740,3.7000,
E05000135,Hampstead Town,Camden,London,153,11270,1.3600,
